1,265.00,4.00,16.00,74.00,76.00,3.00,210.00,72.00,93.00,23.00,33.00,17.00,18.00,33.00,23.00,38.00,30.00,69.00,119.00,112.00,135.00,105.00,308.00,336.00,445.00,372.00,23.00,32.00,10.00,25.00,11.00,29.00,16.00,24.00,13.00,19.00,29.00,12.00,23.00,24.00,16.00,44.00,32.00,23.00,20.00,20.00,24.00,15.00,39.00,47.00,35.00,23.00,21.00,32.00,19.00,15.00,17.00,9.00,23.00,12.00,12.00,9.00,11.00,15.00,11.00,14.00,23.00,50.00,19.00,18.00,50.00,16.00,29.00,35.00,47.00,127.00,14.00,11.00,12.00,15.00,7.00,14.00,16.00,16.00,15.00,32.00,23.00,17.00,14.00,23.00,55.00,44.00,42.00,27.00,33.00,33.00,93.00,25.00,52.00,43.00,27.00,49.00,37.00,72.00,19.00,37.00,16.00,60.00,79.00,32.00,88.00,40.00,134.00,115.00,297.00,350.00,691.00,33.00,89.00,30.00
2,8.00,0.00,0.00,1.00,4.00,0.00,12.00,9.00,3.00,4.00,4.00,1.00,3.00,4.00,4.00,3.00,3.00,6.00,10.00,8.00,8.00,10.00,8.00,7.00,10.00,12.00,1.00,2.00,2.00,4.00,2.00,4.00,2.00,4.00,3.00,3.00,2.00,1.00,4.00,3.00,2.00,5.00,5.00,2.00,3.00,1.00,1.00,1.00,4.00,3.00,2.00,2.00,0.00,2.00,2.00,1.00,2.00,2.00,4.00,2.00,4.00,2.00,4.00,2.00,3.00,2.00,3.00,11.00,3.00,4.00,7.00,3.00,4.00,8.00,4.00,5.00,3.00,2.00,4.00,4.00,1.00,1.00,1.00,2.00,1.00,4.00,3.00,1.00,2.00,4.00,9.00,4.00,1.00,2.00,4.00,2.00,8.00,1.00,4.00,4.00,5.00,4.00,3.00,7.00,2.00,4.00,1.00,5.00,7.00,3.00,4.00,1.00,5.00,2.00,3.00,6.00,9.00,0.00,7.00,2.00
3,14.00,0.00,0.00,0.00,6.00,0.00,10.00,6.00,9.00,4.00,5.00,3.00,3.00,3.00,4.00,3.00,3.00,2.00,6.00,3.00,4.00,5.00,3.00,6.00,5.00,3.00,1.00,7.00,2.00,2.00,1.00,4.00,0.00,1.00,3.00,2.00,4.00,1.00,0.00,2.00,1.00,4.00,3.00,2.00,2.00,2.00,3.00,0.00,3.00,4.00,2.00,2.00,2.00,2.00,3.00,2.00,1.00,1.00,10.00,4.00,2.00,2.00,3.00,3.00,4.00,3.00,2.00,17.00,3.00,5.00,7.00,3.00,4.00,4.00,5.00,8.00,17.00,3.00,13.00,11.00,12.00,5.00,7.00,3.00,3.00,2.00,1.00,6.00,2.00,2.00,9.00,3.00,0.00,3.00,4.00,2.00,8.00,1.00,3.00,3.00,1.00,1.00,4.00,9.00,2.00,3.00,1.00,3.00,1.00,2.00,2.00,2.00,1.00,1.00,4.00,1.00,2.00,0.00,4.00,2.00
4,97.00,1.00,0.00,36.00,186.00,7.00,24.00,19.00,27.00,7.00,21.00,4.00,14.00,16.00,11.00,18.00,9.00,8.00,11.00,8.00,15.00,11.00,12.00,17.00,15.00,18.00,4.00,20.00,2.00,5.00,2.00,6.00,2.00,5.00,5.00,7.00,4.00,3.00,7.00,6.00,2.00,6.00,9.00,4.00,5.00,5.00,4.00,0.00,4.00,7.00,3.00,4.00,1.00,4.00,4.00,1.00,2.00,78.00,50.00,54.00,37.00,38.00,42.00,66.00,123.00,66.00,68.00,243.00,39.00,120.00,78.00,56.00,91.00,26.00,38.00,23.00,9.00,11.00,13.00,10.00,8.00,5.00,3.00,5.00,9.00,9.00,13.00,8.00,3.00,3.00,11.00,5.00,2.00,3.00,8.00,7.00,15.00,5.00,8.00,5.00,5.00,6.00,6.00,19.00,2.00,9.00,4.00,5.00,17.00,6.00,5.00,2.00,7.00,3.00,7.00,6.00,5.00,2.00,11.00,2.00
5,100.00,5.00,5.00,209.00,1233.00,8.00,36.00,25.00,57.00,15.00,24.00,6.00,11.00,16.00,14.00,39.00,12.00,16.00,27.00,30.00,65.00,21.00,38.00,52.00,62.00,54.00,6.00,15.00,4.00,8.00,5.00,11.00,5.00,7.00,5.00,9.00,8.00,5.00,9.00,7.00,2.00,15.00,12.00,7.00,7.00,4.00,9.00,4.00,8.00,3.00,8.00,8.00,2.00,3.00,5.00,2.00,3.00,31.00,28.00,50.00,40.00,61.00,49.00,105.00,173.00,100.00,128.00,303.00,60.00,532.00,261.00,336.00,906.00,371.00,336.00,200.00,6.00,9.00,6.00,9.00,6.00,10.00,5.00,7.00,16.00,10.00,26.00,8.00,5.00,6.00,18.00,11.00,8.00,5.00,14.00,9.00,27.00,14.00,19.00,14.00,14.00,15.00,15.00,22.00,8.00,11.00,8.00,13.00,32.00,6.00,17.00,3.00,16.00,9.00,10.00,18.00,18.00,3.00,23.00,11.00
6,3.00,0.00,2.00,6.00,7.00,0.00,15.00,7.00,2.00,5.00,6.00,3.00,2.00,4.00,6.00,8.00,5.00,5.00,15.00,12.00,9.00,7.00,13.00,13.00,11.00,15.00,2.00,6.00,1.00,4.00,2.00,6.00,2.00,7.00,5.00,4.00,3.00,2.00,3.00,3.00,4.00,7.00,7.00,4.00,5.00,1.00,2.00,3.00,4.00,3.00,4.00,3.00,3.00,1.00,3.00,1.00,1.00,1.00,5.00,4.00,2.00,3.00,4.00,4.00,3.00,3.00,4.00,10.00,4.00,4.00,8.00,5.00,9.00,9.00,10.00,9.00,2.00,5.00,3.00,4.00,1.00,3.00,6.00,3.00,3.00,3.00,2.00,3.00,2.00,3.00,10.00,7.00,6.00,6.00,10.00,12.00,23.00,12.00,16.00,9.00,12.00,11.00,11.00,10.00,5.00,3.00,5.00,7.00,16.00,6.00,9.00,5.00,10.00,4.00,7.00,11.00,12.00,2.00,15.00,9.00
7,304.00,19.00,12.00,22.00,47.00,11.00,343.00,127.00,14.00,6.00,3.00,4.00,2.00,10.00,2.00,2.00,3.00,7.00,9.00,17.00,0.00,7.00,17.00,8.00,3.00,7.00,1.00,15.00,9.00,8.00,5.00,10.00,7.00,8.00,11.00,9.00,6.00,2.00,15.00,10.00,7.00,24.00,39.00,20.00,9.00,23.00,22.00,51.00,91.00,150.00,132.00,83.00,51.00,83.00,127.00,46.00,46.00,0.00,0.00,0.00,0.00,2.00,1.00,0.00,1.00,0.00,0.00,4.00,1.00,0.00,5.00,0.00,0.00,0.00,2.00,3.00,1.00,1.00,2.00,3.00,1.00,2.00,10.00,2.00,2.00,5.00,2.00,17.00,3.00,3.00,33.00,14.00,9.00,12.00,12.00,15.00,62.00,4.00,18.00,18.00,8.00,31.00,16.00,32.00,12.00,5.00,2.00,113.00,17.00,157.00,48.00,168.00,39.00,186.00,124.00,66.00,48.00,122.00,50.00,12.00
8,142.00,7.00,12.00,19.00,35.00,7.00,138.00,15.00,12.00,7.00,3.00,2.00,5.00,3.00,2.00,4.00,7.00,2.00,5.00,13.00,2.00,4.00,4.00,6.00,3.00,0.00,5.00,12.00,3.00,9.00,3.00,5.00,6.00,8.00,8.00,7.00,5.00,4.00,14.00,19.00,4.00,22.00,30.00,29.00,26.00,33.00,52.00,44.00,115.00,177.00,195.00,197.00,173.00,263.00,313.00,106.00,138.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,4.00,1.00,0.00,3.00,0.00,0.00,2.00,3.00,0.00,2.00,2.00,2.00,2.00,1.00,8.00,9.00,0.00,0.00,7.00,4.00,8.00,6.00,8.00,53.00,15.00,9.00,14.00,8.00,9.00,51.00,7.00,9.00,13.00,9.00,16.00,8.00,14.00,6.00,5.00,3.00,41.00,25.00,49.00,21.00,189.00,13.00,54.00,35.00,12.00,14.00,138.00,56.00,8.00
9,79.00,2.00,4.00,16.00,53.00,2.00,10.00,9.00,56.00,2.00,18.00,2.00,4.00,7.00,5.00,31.00,19.00,31.00,47.00,29.00,187.00,29.00,76.00,210.00,212.00,215.00,3.00,6.00,1.00,1.00,2.00,3.00,2.00,5.00,2.00,3.00,3.00,2.00,3.00,4.00,2.00,7.00,5.00,2.00,2.00,2.00,1.00,1.00,3.00,5.00,3.00,3.00,1.00,3.00,1.00,2.00,1.00,0.00,3.00,1.00,2.00,2.00,3.00,3.00,1.00,3.00,6.00,13.00,10.00,3.00,13.00,3.00,11.00,27.00,40.00,348.00,2.00,2.00,4.00,4.00,1.00,1.00,4.00,5.00,3.00,4.00,5.00,2.00,1.00,2.00,9.00,4.00,2.00,4.00,6.00,6.00,7.00,3.00,6.00,5.00,4.00,7.00,3.00,6.00,7.00,5.00,2.00,5.00,16.00,1.00,7.00,2.00,11.00,2.00,6.00,10.00,16.00,0.00,7.00,2.00
1001,23.00,3.00,3.00,12.00,19.00,5.00,2.00,2.00,4.00,59.00,44.00,69.00,47.00,200.00,34.00,10.00,14.00,16.00,12.00,6.00,1.00,0.00,4.00,1.00,3.00,0.00,11.00,37.00,1.00,15.00,2.00,19.00,13.00,3.00,6.00,10.00,6.00,1.00,3.00,4.00,3.00,2.00,8.00,3.00,1.00,1.00,1.00,6.00,4.00,5.00,6.00,2.00,1.00,0.00,2.00,0.00,0.00,0.00,4.00,5.00,1.00,0.00,0.00,3.00,1.00,0.00,1.00,7.00,6.00,0.00,8.00,1.00,0.00,2.00,3.00,2.00,1.00,5.00,1.00,7.00,3.00,15.00,2.00,37.00,17.00,5.00,40.00,5.00,2.00,1.00,28.00,8.00,5.00,8.00,15.00,10.00,23.00,6.00,15.00,6.00,1.00,2.00,20.00,24.00,2.00,14.00,4.00,4.00,9.00,1.00,6.00,2.00,2.00,1.00,2.00,1.00,2.00,2.00,18.00,4.00
1002,45.00,4.00,4.00,16.00,39.00,9.00,2.00,2.00,22.00,46.00,76.00,28.00,40.00,105.00,21.00,36.00,26.00,17.00,14.00,4.00,16.00,3.00,0.00,4.00,5.00,3.00,3.00,15.00,0.00,4.00,0.00,10.00,2.00,3.00,2.00,4.00,2.00,0.00,2.00,2.00,0.00,3.00,2.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,2.00,46.00,9.00,20.00,6.00,9.00,5.00,5.00,22.00,26.00,41.00,24.00,2.00,50.00,4.00,3.00,15.00,16.00,16.00,2.00,11.00,2.00,4.00,3.00,2.00,1.00,26.00,40.00,1.00,52.00,0.00,2.00,2.00,5.00,4.00,1.00,0.00,5.00,4.00,13.00,2.00,6.00,2.00,0.00,5.00,4.00,13.00,3.00,12.00,1.00,5.00,6.00,0.00,4.00,0.00,0.00,0.00,3.00,1.00,2.00,0.00,5.00,1.00
1003,37.00,2.00,3.00,15.00,14.00,3.00,1.00,1.00,4.00,80.00,40.00,32.00,36.00,46.00,49.00,25.00,30.00,38.00,18.00,4.00,4.00,4.00,4.00,5.00,3.00,2.00,4.00,45.00,2.00,6.00,0.00,6.00,2.00,1.00,1.00,5.00,0.00,1.00,6.00,2.00,2.00,3.00,3.00,0.00,0.00,1.00,0.00,1.00,2.00,2.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,5.00,2.00,0.00,0.00,1.00,1.00,1.00,1.00,3.00,8.00,4.00,1.00,12.00,1.00,1.00,5.00,4.00,2.00,2.00,3.00,2.00,1.00,0.00,1.00,0.00,15.00,14.00,0.00,27.00,2.00,1.00,1.00,11.00,3.00,3.00,2.00,9.00,7.00,16.00,4.00,5.00,5.00,2.00,4.00,10.00,40.00,4.00,23.00,6.00,2.00,12.00,0.00,5.00,0.00,4.00,0.00,0.00,3.00,1.00,0.00,11.00,5.00
1004,29.00,0.00,3.00,18.00,18.00,3.00,2.00,0.00,7.00,55.00,40.00,36.00,25.00,36.00,27.00,33.00,22.00,29.00,9.00,7.00,5.00,3.00,3.00,1.00,4.00,1.00,1.00,27.00,0.00,3.00,0.00,5.00,6.00,1.00,1.00,6.00,1.00,2.00,5.00,0.00,0.00,5.00,5.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,2.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,3.00,1.00,4.00,3.00,0.00,3.00,2.00,7.00,3.00,1.00,9.00,2.00,1.00,4.00,8.00,6.00,1.00,0.00,1.00,3.00,1.00,1.00,0.00,4.00,9.00,1.00,22.00,1.00,1.00,0.00,13.00,3.00,0.00,3.00,7.00,3.00,13.00,2.00,3.00,2.00,2.00,2.00,7.00,31.00,2.00,22.00,2.00,4.00,9.00,5.00,7.00,0.00,7.00,1.00,1.00,0.00,4.00,0.00,8.00,2.00
1005,63.00,6.00,6.00,22.00,38.00,6.00,8.00,5.00,13.00,307.00,185.00,39.00,54.00,14.00,194.00,99.00,165.00,127.00,99.00,22.00,12.00,11.00,14.00,8.00,6.00,1.00,11.00,121.00,3.00,19.00,3.00,25.00,14.00,4.00,4.00,11.00,5.00,1.00,13.00,4.00,2.00,9.00,7.00,1.00,0.00,0.00,3.00,2.00,0.00,2.00,2.00,4.00,0.00,1.00,1.00,0.00,2.00,1.00,5.00,3.00,3.00,2.00,2.00,2.00,2.00,4.00,7.00,19.00,11.00,1.00,13.00,4.00,2.00,6.00,8.00,10.00,1.00,6.00,3.00,4.00,1.00,4.00,0.00,36.00,43.00,2.00,59.00,3.00,0.00,3.00,25.00,11.00,6.00,6.00,35.00,12.00,34.00,6.00,26.00,7.00,4.00,13.00,31.00,83.00,9.00,83.00,16.00,5.00,32.00,6.00,20.00,1.00,24.00,0.00,3.00,5.00,2.00,0.00,14.00,3.00
1006,31.00,3.00,7.00,14.00,23.00,4.00,2.00,5.00,5.00,28.00,20.00,43.00,35.00,138.00,24.00,18.00,24.00,20.00,23.00,10.00,9.00,5.00,5.00,2.00,2.00,3.00,5.00,16.00,1.00,4.00,0.00,11.00,4.00,1.00,1.00,9.00,5.00,0.00,3.00,1.00,2.00,5.00,5.00,1.00,3.00,1.00,1.00,0.00,1.00,0.00,0.00,3.00,1.00,1.00,0.00,0.00,0.00,2.00,5.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,4.00,10.00,2.00,0.00,6.00,0.00,0.00,2.00,6.00,3.00,0.00,0.00,0.00,1.00,1.00,5.00,0.00,9.00,4.00,1.00,11.00,3.00,0.00,1.00,12.00,10.00,2.00,7.00,11.00,7.00,26.00,5.00,10.00,4.00,4.00,7.00,20.00,46.00,9.00,18.00,10.00,3.00,23.00,3.00,9.00,1.00,10.00,3.00,0.00,1.00,1.00,0.00,16.00,5.00
1007,50.00,7.00,3.00,22.00,52.00,7.00,3.00,2.00,49.00,19.00,43.00,19.00,30.00,70.00,15.00,5.00,32.00,51.00,32.00,8.00,41.00,4.00,5.00,22.00,16.00,13.00,0.00,7.00,3.00,1.00,2.00,3.00,0.00,0.00,0.00,4.00,1.00,1.00,1.00,0.00,0.00,1.00,5.00,0.00,1.00,0.00,0.00,2.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,2.00,14.00,6.00,6.00,8.00,6.00,7.00,9.00,13.00,19.00,32.00,30.00,1.00,55.00,3.00,5.00,21.00,37.00,37.00,1.00,2.00,2.00,5.00,1.00,1.00,0.00,8.00,14.00,2.00,26.00,1.00,0.00,0.00,8.00,3.00,0.00,1.00,4.00,4.00,7.00,1.00,1.00,5.00,2.00,7.00,4.00,15.00,0.00,2.00,0.00,2.00,4.00,0.00,5.00,0.00,2.00,4.00,3.00,3.00,1.00,0.00,4.00,2.00
1008,43.00,1.00,3.00,9.00,31.00,9.00,2.00,1.00,23.00,13.00,23.00,20.00,22.00,90.00,19.00,31.00,22.00,27.00,46.00,14.00,16.00,7.00,9.00,15.00,16.00,6.00,1.00,8.00,0.00,2.00,1.00,8.00,3.00,2.00,0.00,3.00,3.00,1.00,1.00,0.00,0.00,2.00,4.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,2.00,2.00,2.00,2.00,4.00,1.00,6.00,4.00,5.00,5.00,1.00,9.00,1.00,0.00,2.00,11.00,10.00,1.00,1.00,0.00,1.00,3.00,1.00,1.00,2.00,6.00,2.00,6.00,2.00,0.00,0.00,2.00,3.00,3.00,1.00,3.00,2.00,8.00,0.00,6.00,3.00,2.00,6.00,5.00,12.00,2.00,17.00,4.00,4.00,10.00,0.00,1.00,0.00,3.00,0.00,2.00,1.00,2.00,0.00,10.00,0.00
1009,117.00,4.00,4.00,5.00,42.00,5.00,2.00,2.00,55.00,13.00,22.00,35.00,29.00,103.00,21.00,51.00,31.00,2.00,52.00,41.00,40.00,29.00,21.00,45.00,37.00,26.00,1.00,6.00,1.00,2.00,0.00,3.00,0.00,1.00,2.00,5.00,2.00,3.00,0.00,1.00,1.00,4.00,5.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,1.00,0.00,0.00,3.00,0.00,1.00,5.00,7.00,9.00,0.00,12.00,0.00,2.00,4.00,7.00,13.00,0.00,0.00,1.00,1.00,0.00,2.00,0.00,2.00,3.00,0.00,5.00,2.00,0.00,0.00,10.00,3.00,2.00,3.00,8.00,5.00,9.00,4.00,7.00,2.00,3.00,5.00,8.00,14.00,5.00,34.00,10.00,4.00,15.00,4.00,7.00,1.00,9.00,2.00,2.00,4.00,8.00,0.00,12.00,2.00
1010,162.00,10.00,4.00,12.00,57.00,17.00,4.00,4.00,48.00,11.00,16.00,9.00,9.00,60.00,16.00,27.00,30.00,31.00,63.00,67.00,42.00,32.00,27.00,58.00,78.00,39.00,1.00,9.00,2.00,5.00,1.00,4.00,2.00,2.00,3.00,5.00,2.00,1.00,3.00,1.00,0.00,2.00,7.00,0.00,1.00,6.00,0.00,2.00,3.00,1.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,2.00,2.00,0.00,0.00,0.00,4.00,1.00,5.00,3.00,9.00,0.00,0.00,5.00,0.00,1.00,1.00,8.00,12.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,2.00,4.00,3.00,7.00,2.00,2.00,0.00,6.00,4.00,3.00,0.00,5.00,7.00,24.00,3.00,10.00,7.00,5.00,6.00,7.00,29.00,7.00,28.00,11.00,6.00,30.00,2.00,10.00,1.00,32.00,2.00,6.00,12.00,15.00,0.00,6.00,1.00
1011,131.00,9.00,4.00,15.00,38.00,11.00,8.00,4.00,30.00,7.00,5.00,7.00,3.00,16.00,13.00,9.00,18.00,38.00,68.00,4.00,12.00,52.00,87.00,29.00,54.00,25.00,5.00,9.00,0.00,6.00,1.00,9.00,3.00,3.00,5.00,12.00,7.00,3.00,8.00,6.00,6.00,7.00,8.00,5.00,1.00,1.00,3.00,6.00,39.00,29.00,14.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2.00,0.00,0.00,1.00,1.00,0.00,2.00,0.00,8.00,2.00,0.00,0.00,1.00,0.00,5.00,1.00,2.00,1.00,5.00,2.00,3.00,1.00,1.00,39.00,14.00,3.00,7.00,24.00,14.00,31.00,9.00,17.00,12.00,10.00,17.00,16.00,55.00,15.00,44.00,43.00,13.00,112.00,3.00,62.00,1.00,69.00,10.00,11.00,27.00,26.00,0.00,21.00,4.00
1012,153.00,7.00,6.00,13.00,91.00,14.00,2.00,0.00,205.00,3.00,19.00,3.00,4.00,13.00,3.00,39.00,18.00,32.00,40.00,11.00,35.00,7.00,16.00,50.00,46.00,41.00,0.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,3.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,3.00,2.00,3.00,1.00,3.00,1.00,3.00,4.00,8.00,8.00,1.00,19.00,3.00,3.00,22.00,19.00,84.00,0.00,2.00,0.00,1.00,0.00,0.00,0.00,2.00,4.00,0.00,7.00,0.00,0.00,0.00,2.00,0.00,0.00,1.00,3.00,1.00,5.00,0.00,0.00,2.00,0.00,0.00,3.00,1.00,0.00,6.00,1.00,1.00,4.00,0.00,1.00,1.00,3.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00
1013,117.00,8.00,6.00,9.00,31.00,11.00,8.00,1.00,20.00,3.00,4.00,2.00,0.00,3.00,4.00,3.00,7.00,35.00,30.00,51.00,10.00,10.00,17.00,25.00,35.00,22.00,0.00,7.00,1.00,1.00,0.00,4.00,1.00,4.00,2.00,2.00,1.00,2.00,1.00,4.00,1.00,6.00,4.00,0.00,3.00,1.00,0.00,0.00,2.00,3.00,3.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,2.00,0.00,0.00,1.00,0.00,2.00,3.00,0.00,2.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,14.00,7.00,2.00,4.00,9.00,2.00,13.00,2.00,6.00,4.00,3.00,9.00,8.00,16.00,4.00,18.00,9.00,3.00,36.00,0.00,15.00,0.00,38.00,4.00,10.00,22.00,40.00,0.00,7.00,4.00
1014,315.00,5.00,3.00,11.00,38.00,14.00,7.00,5.00,79.00,1.00,1.00,2.00,2.00,3.00,2.00,7.00,4.00,12.00,27.00,72.00,19.00,19.00,30.00,40.00,65.00,33.00,2.00,1.00,0.00,0.00,0.00,2.00,0.00,2.00,2.00,1.00,0.00,0.00,2.00,1.00,0.00,5.00,4.00,2.00,0.00,2.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,4.00,0.00,1.00,2.00,0.00,0.00,2.00,7.00,8.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,2.00,0.00,1.00,0.00,2.00,0.00,0.00,5.00,1.00,1.00,5.00,3.00,3.00,6.00,2.00,4.00,4.00,1.00,4.00,1.00,10.00,5.00,13.00,6.00,2.00,20.00,0.00,6.00,2.00,25.00,3.00,7.00,27.00,65.00,0.00,2.00,2.00
